model,frame,atoms,config_type,declared_xc,dft_field_prefix,dft_energy_eV,model_energy_eV,basis_signs,volume_A3,components,squared_error,component_rmse_eV_A,max_vector_error_eV_A,reference_component_rms_eV_A,diamond_referenced_error_eV_atom
MACE-MP-0b3-medium,29,1,sh,UNSPECIFIED,dft,-162.743183,-5.02958102397747,1 1 1,13.97190813955927,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,30,1,sh,UNSPECIFIED,dft,-162.801072,-5.0848959559913665,1 1 1,15.196172620108575,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,31,1,sh,UNSPECIFIED,dft,-162.671933,-4.990909563400114,1 1 1,13.601235675259625,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,32,1,sh,UNSPECIFIED,dft,-162.676607,-4.998879842338246,1 1 1,13.88512988820373,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,33,1,sh,UNSPECIFIED,dft,-162.718406,-5.03460878193344,1 1 1,14.71914069174737,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,34,1,sh,UNSPECIFIED,dft,-162.730704,-5.0398129217828345,1 1 1,14.204132420797086,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,35,1,sh,UNSPECIFIED,dft,-162.806776,-5.085462692974566,1 1 1,15.392744999595191,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,36,1,sh,UNSPECIFIED,dft,-162.772251,-5.0589449424559145,1 1 1,14.475324092828833,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,37,1,sh,UNSPECIFIED,dft,-162.776474,-5.0706997919072645,1 1 1,14.74738229012934,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,38,1,sh,UNSPECIFIED,dft,-162.779422,-5.0728641722990915,1 1 1,15.048576784181694,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,39,1,sh,UNSPECIFIED,dft,-162.732649,-5.0293591030261195,1 1 1,14.050631381248213,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,40,1,sh,UNSPECIFIED,dft,-162.797575,-5.067550513736643,1 1 1,14.009832696877224,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,41,1,sh,UNSPECIFIED,dft,-162.781603,-5.054356324813768,1 1 1,13.77024000251213,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,42,1,sh,UNSPECIFIED,dft,-162.78679,-5.065346841238251,1 1 1,14.05281966800802,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,43,1,sh,UNSPECIFIED,dft,-162.746901,-5.041942051226815,1 1 1,14.068906541105576,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,44,1,sh,UNSPECIFIED,dft,-162.58302,-4.908918209044328,1 1 1,12.644563112345235,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,45,1,sh,UNSPECIFIED,dft,-162.666719,-5.000944837442407,1 1 1,14.116417459848927,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,46,1,sh,UNSPECIFIED,dft,-162.695387,-5.030273722906782,1 1 1,15.109429137083229,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,47,1,sh,UNSPECIFIED,dft,-162.770296,-5.064476901588637,1 1 1,14.778371575607345,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,48,1,sh,UNSPECIFIED,dft,-162.741465,-5.043725036127298,1 1 1,13.918488510318726,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,49,1,sh,UNSPECIFIED,dft,-162.685779,-5.013766068751187,1 1 1,13.842032610061619,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,50,1,sh,UNSPECIFIED,dft,-162.691919,-5.005915452528782,1 1 1,14.072074693546298,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,51,1,sh,UNSPECIFIED,dft,-162.721617,-5.006293773715241,1 1 1,13.22909745211105,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,52,1,sh,UNSPECIFIED,dft,-162.761584,-5.037866582955325,1 1 1,13.907374473502525,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,53,1,sh,UNSPECIFIED,dft,-162.697194,-5.007574077158995,1 1 1,13.446776471216332,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,54,1,sh,UNSPECIFIED,dft,-162.714662,-5.024058760269061,1 1 1,13.657190458489328,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,55,1,sh,UNSPECIFIED,dft,-162.709299,-5.0080733059752065,1 1 1,13.70697516166664,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,56,1,sh,UNSPECIFIED,dft,-162.726555,-5.030059134004457,1 1 1,14.032178398769966,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,57,1,sh,UNSPECIFIED,dft,-162.703008,-5.026154911419445,1 1 1,13.919261481388123,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,58,1,sh,UNSPECIFIED,dft,-162.665059,-4.989093846676324,1 1 1,14.639939781430625,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,59,1,sh,UNSPECIFIED,dft,-162.74212,-5.046696988680041,1 1 1,15.25733799560258,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,60,1,sh,UNSPECIFIED,dft,-162.698121,-5.015093245435596,1 1 1,13.759804690839616,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,61,1,sh,UNSPECIFIED,dft,-162.637168,-4.962739965204444,1 1 1,13.313843775182843,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,62,1,sh,UNSPECIFIED,dft,-162.67536,-4.981039125172539,1 1 1,13.208798104120422,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,63,1,sh,UNSPECIFIED,dft,-162.739175,-5.03640458965289,1 1 1,13.719691198696477,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,64,1,sh,UNSPECIFIED,dft,-162.728794,-5.024079069121326,1 1 1,14.200008624358984,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,65,1,sh,UNSPECIFIED,dft,-162.710696,-5.007630135735339,1 1 1,13.399430580577503,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,66,1,sh,UNSPECIFIED,dft,-162.742815,-5.030724243875774,1 1 1,13.585453976815769,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,67,1,sh,UNSPECIFIED,dft,-162.737175,-5.03310119299444,1 1 1,14.028074005931774,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,68,1,sh,UNSPECIFIED,dft,-162.730526,-5.039161087732824,1 1 1,14.510809747296642,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,69,1,sh,UNSPECIFIED,dft,-162.775506,-5.052421074951482,1 1 1,13.918186432766419,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,70,1,sh,UNSPECIFIED,dft,-162.704131,-5.027179510013679,1 1 1,13.757969720093579,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,71,1,sh,UNSPECIFIED,dft,-162.592029,-4.915379715679663,1 1 1,13.157360237447705,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,72,1,sh,UNSPECIFIED,dft,-162.617688,-4.92850442351413,1 1 1,12.656804444133222,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,73,1,sh,UNSPECIFIED,dft,-162.73123,-5.018533710031061,1 1 1,13.475674798828965,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,74,1,sh,UNSPECIFIED,dft,-162.77387,-5.057846896539892,1 1 1,14.270797333634711,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,75,1,sh,UNSPECIFIED,dft,-162.666135,-4.973504864588718,1 1 1,13.067539790417673,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,76,1,sh,UNSPECIFIED,dft,-162.593441,-4.920424875001524,1 1 1,12.655418422005576,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,77,1,sh,UNSPECIFIED,dft,-162.681994,-4.994176226270897,1 1 1,13.229394139838245,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,78,1,sh,UNSPECIFIED,dft,-162.78359,-5.060974951602831,1 1 1,14.243274614278167,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,79,1,sh,UNSPECIFIED,dft,-162.385564,-4.806926789848562,1 1 1,12.20215643506361,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,80,1,sh,UNSPECIFIED,dft,-162.738435,-5.057423701477876,1 1 1,14.391419575944102,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,81,1,sh,UNSPECIFIED,dft,-162.531573,-4.8555481775235565,1 1 1,12.255872140454798,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,82,1,sh,UNSPECIFIED,dft,-162.671049,-4.978018808505238,1 1 1,13.228839730854652,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,83,1,sh,UNSPECIFIED,dft,-162.593438,-4.940655850286553,1 1 1,13.409742509162022,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,84,1,sh,UNSPECIFIED,dft,-162.541657,-4.8979973934720045,1 1 1,12.641677359915201,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,85,1,sh,UNSPECIFIED,dft,-162.620575,-4.962282410011225,1 1 1,13.559947981031815,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,86,1,sh,UNSPECIFIED,dft,-162.699891,-5.022841126301201,1 1 1,14.0459373509437,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,87,1,sh,UNSPECIFIED,dft,-162.585871,-4.9354881841087375,1 1 1,13.100055547430005,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,88,1,sh,UNSPECIFIED,dft,-162.751037,-5.04661080731634,1 1 1,14.026656352606103,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,89,1,sh,UNSPECIFIED,dft,-162.536158,-4.846604019410661,1 1 1,12.188984079224852,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,90,1,sh,UNSPECIFIED,dft,-162.485886,-4.85571446637385,1 1 1,12.301358884252203,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,91,1,sh,UNSPECIFIED,dft,-162.581251,-4.904832970382029,1 1 1,12.605764507956478,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,92,1,sh,UNSPECIFIED,dft,-162.706291,-5.005363721567731,1 1 1,13.32174503424255,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,93,1,sh,UNSPECIFIED,dft,-162.331374,-4.6593773294308685,1 1 1,11.429792950792464,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,94,1,sh,UNSPECIFIED,dft,-162.720634,-5.0212669524418585,1 1 1,13.671244375203049,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,95,1,sh,UNSPECIFIED,dft,-162.622203,-4.960299112941261,1 1 1,13.155444100256858,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,96,1,sh,UNSPECIFIED,dft,-162.502011,-4.878109207024831,1 1 1,12.55790442392793,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,97,1,sh,UNSPECIFIED,dft,-162.574135,-4.914789138650632,1 1 1,12.680078247408533,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,98,1,sh,UNSPECIFIED,dft,-162.656297,-4.969538849719493,1 1 1,13.167828800653588,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,99,1,sh,UNSPECIFIED,dft,-162.748564,-5.02872233800705,1 1 1,13.505607912361747,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,100,1,sh,UNSPECIFIED,dft,-162.715643,-4.99724254384983,1 1 1,13.2357468772006,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,101,1,sh,UNSPECIFIED,dft,-162.712182,-4.998247091658299,1 1 1,13.265916211247863,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,102,1,sh,UNSPECIFIED,dft,-162.616861,-4.925721365913519,1 1 1,12.646524206769119,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,103,1,sh,UNSPECIFIED,dft,-162.587559,-4.8958603866604395,1 1 1,12.508603400252687,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,104,1,sh,UNSPECIFIED,dft,-162.637646,-4.938975982044366,1 1 1,12.812862681716735,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,105,1,sh,UNSPECIFIED,dft,-162.681335,-4.98249167299818,1 1 1,13.076274007497146,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,106,1,sh,UNSPECIFIED,dft,-162.488676,-4.833913601030254,1 1 1,12.187603223369875,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,107,1,sh,UNSPECIFIED,dft,-162.615495,-4.963407436714668,1 1 1,13.164696257673492,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,108,1,sh,UNSPECIFIED,dft,-162.740207,-5.042346903630404,1 1 1,13.936763280676665,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,109,1,sh,UNSPECIFIED,dft,-162.316621,-4.695036115749722,1 1 1,11.838025587188913,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,110,1,sh,UNSPECIFIED,dft,-162.615483,-4.922682628256837,1 1 1,12.810867845031494,3,0.0,0.0,0.0,0.0,
MACE-MP-0b3-medium,111,8,sh,UNSPECIFIED,DFT,-1302.295986,-40.65758038151239,1 1 1,123.98719511874528,24,1.320730185840251,0.23458564408337193,0.7051247453709305,0.443984524426245,
MACE-MP-0b3-medium,112,8,sh,UNSPECIFIED,DFT,-1302.272905,-40.579761124517134,1 1 1,121.89566884609496,24,1.1803028672056102,0.22176403255164506,0.5440297846546701,0.4762747459798674,
MACE-MP-0b3-medium,113,8,sh,UNSPECIFIED,DFT,-1302.302711,-40.61777475319179,1 1 1,122.19473901541132,24,1.5054412562856272,0.2504530275558695,0.6376978006084565,0.5089264855245624,
MACE-MP-0b3-medium,114,8,sh,UNSPECIFIED,DFT,-1302.550978,-40.70781250899758,1 1 1,123.8430671894148,24,0.5942067762672884,0.1573487072644821,0.38506127815670227,0.29690604134977244,
MACE-MP-0b3-medium,115,8,sh,UNSPECIFIED,DFT,-1302.252121,-40.61976659985484,1 1 1,126.8223571117541,24,0.9381878350572608,0.19771484464767064,0.5326772968920506,0.36613958313560113,
MACE-MP-0b3-medium,116,8,sh,UNSPECIFIED,DFT,-1301.96717,-40.289274836503935,1 1 1,110.53428885598309,24,1.0182939919598655,0.20598280591268064,0.5555525271628677,0.5082927429071025,
MACE-MP-0b3-medium,117,8,sh,UNSPECIFIED,DFT,-1301.76601,-40.17726248880196,1 1 1,111.08424832272132,24,1.0854936028428193,0.21267087275518196,0.6365426508623697,0.4365950934008065,
MACE-MP-0b3-medium,118,8,sh,UNSPECIFIED,DFT,-1302.016609,-40.36987738413711,1 1 1,112.82306688341268,24,1.2520761311085145,0.2284071776371927,0.48926011836692224,0.5601547301810287,
MACE-MP-0b3-medium,119,8,sh,UNSPECIFIED,DFT,-1302.345095,-40.55634912654613,1 1 1,115.69313424954582,24,0.4975556025853652,0.143984316649616,0.37591248066957517,0.35400473948116906,
MACE-MP-0b3-medium,120,8,sh,UNSPECIFIED,DFT,-1301.883915,-40.30649439905527,1 1 1,110.91843924113337,24,1.05339064841865,0.20950245110127888,0.5352097955595605,0.49513886058429957,
MACE-MP-0b3-medium,121,8,sh,UNSPECIFIED,DFT,-1301.630701,-39.980400996954685,1 1 1,106.32121220082357,24,0.5762081574049044,0.15494732403369976,0.39561640805406695,0.4557215616996898,
MACE-MP-0b3-medium,122,8,sh,UNSPECIFIED,DFT,-1301.719228,-40.093807429609036,1 1 1,108.61113859612188,24,1.330651112911477,0.23546506401441286,0.6293907257185275,0.6401444915887038,
MACE-MP-0b3-medium,123,8,sh,UNSPECIFIED,DFT,-1301.638908,-40.0000520827606,1 1 1,107.36318539592197,24,0.18312649394002686,0.08735142002757856,0.21969186421486758,0.27589764321729265,
MACE-MP-0b3-medium,124,8,sh,UNSPECIFIED,DFT,-1301.857592,-40.141770253113314,1 1 1,109.76201252494013,24,0.5853025946349804,0.1561653230067125,0.5512493152093269,0.4576296385228788,
MACE-MP-0b3-medium,125,8,sh,UNSPECIFIED,DFT,-1302.059255,-40.31329994770915,1 1 1,109.53712912866837,24,0.5151695003125922,0.14651073628358438,0.4121157980143357,0.3753468572096534,
MACE-MP-0b3-medium,126,8,sh,UNSPECIFIED,DFT,-1301.204404,-39.56947692495235,1 1 1,104.04073900358891,24,0.6218979706263935,0.16097333767666744,0.540224362168216,0.5560813907098198,
MACE-MP-0b3-medium,127,8,sh,UNSPECIFIED,DFT,-1301.456271,-39.80089882984445,1 1 1,105.37260582141262,24,0.3687194680567191,0.12394882479890627,0.28832921526313426,0.36913535464245806,
MACE-MP-0b3-medium,128,8,sh,UNSPECIFIED,DFT,-1300.828345,-39.29097074790578,1 1 1,102.11661283735445,24,0.9360816085412973,0.19749278557934058,0.5873959737088568,0.6268626374804003,
MACE-MP-0b3-medium,129,8,sh,UNSPECIFIED,DFT,-1300.982258,-39.439200710945656,1 1 1,102.06070471246716,24,0.6757781086062702,0.16780173179061034,0.4310257509561235,0.5036060833519179,
MACE-MP-0b3-medium,130,8,sh,UNSPECIFIED,DFT,-1301.84763,-40.10153247191723,1 1 1,107.00657891875606,24,0.17974545126310473,0.08654128380506822,0.2323893380645138,0.25242326517520214,
MACE-MP-0b3-medium,131,8,sh,UNSPECIFIED,DFT,-1300.149174,-38.835006219863274,1 1 1,98.91020025048094,24,0.9533808549870904,0.19930931310686104,0.5825649214117922,0.5395826025316045,
MACE-MP-0b3-medium,132,8,sh,UNSPECIFIED,DFT,-1300.399597,-39.04299153490707,1 1 1,100.73918969715105,24,0.8648106609687904,0.1898256503751963,0.48147870325093434,0.559375873166499,
MACE-MP-0b3-medium,133,8,sh,UNSPECIFIED,DFT,-1300.05383,-38.57011217627517,1 1 1,98.07448447759633,24,0.6471909573147467,0.1642141586103782,0.4320220937307715,0.45336503705921904,
MACE-MP-0b3-medium,134,8,sh,UNSPECIFIED,DFT,-1300.835262,-39.23872726820879,1 1 1,102.41759263867277,24,0.5073647499510532,0.14539669155323726,0.3597886778004922,0.48793684452123687,
MACE-MP-0b3-medium,135,8,sh,UNSPECIFIED,DFT,-1299.989854,-38.530132401294885,1 1 1,98.66529576994799,24,1.177172314516036,0.22146974158599672,0.5418103150401091,0.7877157692096869,
MACE-MP-0b3-medium,136,8,sh,UNSPECIFIED,DFT,-1302.214395,-40.570374146896626,1 1 1,118.98405331518448,24,0.7867634986706376,0.18105748381276565,0.5020772911469391,0.39510254609361045,
MACE-MP-0b3-medium,137,8,sh,UNSPECIFIED,DFT,-1302.30353,-40.53846737816093,1 1 1,116.8181977046261,24,0.7471456533532511,0.1764399866518891,0.49649632131209537,0.42926024957797243,
MACE-MP-0b3-medium,138,8,sh,UNSPECIFIED,DFT,-1302.317823,-40.574706193289686,1 1 1,118.20808279307808,24,0.9821600588167139,0.20229516994735625,0.5405833757723593,0.4582070519149855,
MACE-MP-0b3-medium,139,8,sh,UNSPECIFIED,DFT,-1302.469757,-40.648740140472796,1 1 1,119.0337155591567,24,0.9411523224698046,0.1980269681202753,0.4606225137817527,0.4097030696378871,
MACE-MP-0b3-medium,140,8,sh,UNSPECIFIED,DFT,-1302.534238,-40.71056097458678,1 1 1,120.0805583264528,24,0.6000432190206304,0.15811957751185104,0.38133458970561057,0.30072865634898804,
MACE-MP-0b3-medium,141,27,sh,UNSPECIFIED,DFT,-4395.260734,-137.08136655097,1 1 1,420.74425977972624,81,3.032415324845481,0.1934870182535776,0.5458986402938916,0.37502871335678895,
MACE-MP-0b3-medium,142,27,sh,UNSPECIFIED,DFT,-4395.036789,-136.9684648600206,1 1 1,411.04248065202853,81,4.341073512783997,0.2315027001091502,0.6676561472951433,0.4362638624118022,
MACE-MP-0b3-medium,143,27,sh,UNSPECIFIED,DFT,-4394.885034,-136.86631686505453,1 1 1,425.4500486783721,81,4.233334990503192,0.22861188714606215,0.6474311332412527,0.4220942837498075,
MACE-MP-0b3-medium,144,27,sh,UNSPECIFIED,DFT,-4394.713853,-136.8862820529297,1 1 1,423.8521005351693,81,4.019421405714447,0.2227610524537488,0.6841076400189878,0.40977263304041456,
MACE-MP-0b3-medium,145,27,sh,UNSPECIFIED,DFT,-4394.889195,-136.87580745071463,1 1 1,421.40260315408375,81,3.9337775685472107,0.2203750329943243,0.5566568791639889,0.4048342664118529,
MACE-MP-0b3-medium,146,27,sh,UNSPECIFIED,DFT,-4394.386073,-136.25379958866856,1 1 1,382.75235094292964,81,4.663762925539621,0.23995274549042023,0.9165987894234678,0.5266508370520894,
MACE-MP-0b3-medium,147,27,sh,UNSPECIFIED,DFT,-4394.600738,-136.3276911626103,1 1 1,378.2902814032877,81,3.531779321794154,0.2088114313185716,0.5974529952740386,0.45413230516740083,
MACE-MP-0b3-medium,148,27,sh,UNSPECIFIED,DFT,-4393.712898,-135.63438433223592,1 1 1,369.8230392987771,81,4.45605658237039,0.23454859672740516,0.8602762348599965,0.5587357117252305,
MACE-MP-0b3-medium,149,27,sh,UNSPECIFIED,DFT,-4394.781001,-136.60772637205912,1 1 1,385.8286713598541,81,4.2090878969842365,0.2279562416581667,0.7229016200670122,0.4571338066319941,
MACE-MP-0b3-medium,150,27,sh,UNSPECIFIED,DFT,-4394.123233,-136.01030506898786,1 1 1,377.756647962589,81,4.443567732325829,0.2342196851097522,0.84465534985173,0.5237451807348911,
MACE-MP-0b3-medium,151,27,sh,UNSPECIFIED,DFT,-4393.985804,-135.92948821694972,1 1 1,374.36321619034516,81,3.502079564702451,0.20793159976663417,0.752012986218678,0.46529758732203197,
MACE-MP-0b3-medium,152,27,sh,UNSPECIFIED,DFT,-4394.032927,-135.91854791504434,1 1 1,372.20783145726006,81,3.058234054063137,0.19430897039531683,0.6319563741714307,0.447524266266428,
MACE-MP-0b3-medium,153,27,sh,UNSPECIFIED,DFT,-4393.62481,-135.5687391284139,1 1 1,369.6483147176958,81,3.4813423730717488,0.2073150632974401,0.6951201865841982,0.4720214031027302,
MACE-MP-0b3-medium,154,27,sh,UNSPECIFIED,DFT,-4393.123528,-135.1064092973863,1 1 1,363.01336156540725,81,3.853504005810122,0.21811493192470804,0.7765900960313676,0.5115268937393248,
