target_id,quantity,symbol,value,units,temperature_K,orientation_or_path,method,source_title,authors,year,identifier,mapping_class,used_for_fit,notes
wei_surface111_experiment,clean (111) surface energy,gamma_111,1.14,J/m^2,293,(111),experiment cited by DFT source,"A DFT study of the adsorption of O2 and H2O on Al(111) surfaces","X. Wei; C. Dong; Z. Chen; K. Xiao; X. Li",2016,doi:10.1039/C6RA08958E,GEOMETRICALLY PROJECTABLE,no,"Room-temperature comparison only; not mixed into the 0-K fit."
yamakov_c11_100K,elastic constant,C11,109.1,GPa,100,cubic axes,MD/EAM,"Molecular-dynamics simulation-based cohesive zone representation of intergranular fracture processes in aluminum","V. Yamakov; E. Saether; D. R. Phillips; E. H. Glaessgen",2006,doi:10.1016/j.jmps.2006.03.004,GEOMETRICALLY PROJECTABLE,no,"Held-out finite-temperature EAM value."
yamakov_c12_100K,elastic constant,C12,58.5,GPa,100,cubic axes,MD/EAM,"Molecular-dynamics simulation-based cohesive zone representation of intergranular fracture processes in aluminum","V. Yamakov; E. Saether; D. R. Phillips; E. H. Glaessgen",2006,doi:10.1016/j.jmps.2006.03.004,GEOMETRICALLY PROJECTABLE,no,"Held-out finite-temperature EAM value."
yamakov_c44_100K,elastic constant,C44,33.0,GPa,100,cubic axes,MD/EAM,"Molecular-dynamics simulation-based cohesive zone representation of intergranular fracture processes in aluminum","V. Yamakov; E. Saether; D. R. Phillips; E. H. Glaessgen",2006,doi:10.1016/j.jmps.2006.03.004,GEOMETRICALLY PROJECTABLE,no,"Held-out finite-temperature EAM value."
yamakov_surface,orientation-specific surface energy,gamma_surface,0.952,J/m^2,100,Sigma99 grain-boundary cleavage plane,MD/EAM,"Molecular-dynamics simulation-based cohesive zone representation of intergranular fracture processes in aluminum","V. Yamakov; E. Saether; D. R. Phillips; E. H. Glaessgen",2006,doi:10.1016/j.jmps.2006.03.004,NOT CURRENTLY MAPPABLE,no,"Not a clean FCC (111) cleavage target; retained as a provenance-rich validation context only."
choi_reference_cohesion,reference cohesive energy,E_coh,3.39,eV/atom,unspecified,FCC,reference compilation,"Faceting transition in aluminum as a grain boundary phase transition","Y. Choi; T. Brink",2025,doi:10.1103/2dnf-zdz8,EFFECTIVE / COARSE-GRAINED,no,"Reference row; source conditions must be followed through cited original references before fit use."
choi_reference_surface111,reference (111) surface energy,gamma_111,1.199,J/m^2,unspecified,(111),reference compilation,"Faceting transition in aluminum as a grain boundary phase transition","Y. Choi; T. Brink",2025,doi:10.1103/2dnf-zdz8,GEOMETRICALLY PROJECTABLE,no,"Uncertainty/validation context; not silently mixed into selected fit."
choi_reference_isf_low,reference intrinsic stacking-fault lower range,gamma_isf,0.135,J/m^2,unspecified,(111),reference compilation,"Faceting transition in aluminum as a grain boundary phase transition","Y. Choi; T. Brink",2025,doi:10.1103/2dnf-zdz8,NOT CURRENTLY MAPPABLE,no,"Lower end of reported 135-200 mJ/m^2 range."
choi_reference_isf_high,reference intrinsic stacking-fault upper range,gamma_isf,0.200,J/m^2,unspecified,(111),reference compilation,"Faceting transition in aluminum as a grain boundary phase transition","Y. Choi; T. Brink",2025,doi:10.1103/2dnf-zdz8,NOT CURRENTLY MAPPABLE,no,"Upper end of reported 135-200 mJ/m^2 range."
choi_reference_usf_low,reference unstable stacking-fault lower range,gamma_usf,0.175,J/m^2,unspecified,(111),reference compilation,"Faceting transition in aluminum as a grain boundary phase transition","Y. Choi; T. Brink",2025,doi:10.1103/2dnf-zdz8,GEOMETRICALLY PROJECTABLE,no,"Lower end of reported 175-224 mJ/m^2 range."
choi_reference_usf_high,reference unstable stacking-fault upper range,gamma_usf,0.224,J/m^2,unspecified,(111),reference compilation,"Faceting transition in aluminum as a grain boundary phase transition","Y. Choi; T. Brink",2025,doi:10.1103/2dnf-zdz8,GEOMETRICALLY PROJECTABLE,no,"Upper end of reported 175-224 mJ/m^2 range."
