model,span_um,core_radius_over_b,outer_radius_over_span,critical_outer_only_MPa,status
historical_candidate,0.5,0.5,1.0,31.74091605209405,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_cubic_5pct_not_adopted,10.0,2.0,1.0,1.3877631946176772,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_bulk_exact_not_adopted,0.5,0.5,1.0,32.95769664013863,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_bulk_exact_not_adopted,0.5,1.0,1.0,30.15750264180042,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_bulk_exact_not_adopted,0.5,2.0,1.0,27.357308643462215,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_bulk_exact_not_adopted,1.0,0.5,1.0,17.878945319238415,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_bulk_exact_not_adopted,1.0,1.0,1.0,16.478848320069314,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_bulk_exact_not_adopted,1.0,2.0,1.0,15.07875132090021,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_bulk_exact_not_adopted,2.0,0.5,1.0,9.639521159203758,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_bulk_exact_not_adopted,2.0,1.0,1.0,8.939472659619208,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_bulk_exact_not_adopted,2.0,2.0,1.0,8.239424160034657,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_bulk_exact_not_adopted,5.0,0.5,1.0,4.225973975435329,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_bulk_exact_not_adopted,5.0,1.0,1.0,3.9459545756015078,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_bulk_exact_not_adopted,5.0,2.0,1.0,3.6659351757676877,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_bulk_exact_not_adopted,10.0,0.5,1.0,2.2529966876345746,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_bulk_exact_not_adopted,10.0,1.0,1.0,2.1129869877176644,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
v11_bulk_exact_not_adopted,10.0,2.0,1.0,1.9729772878007539,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
source_elastic_comparator_0K,0.5,0.5,1.0,32.95769664013837,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
source_elastic_comparator_0K,0.5,1.0,1.0,30.15750264180019,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
source_elastic_comparator_0K,0.5,2.0,1.0,27.357308643462005,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
source_elastic_comparator_0K,1.0,0.5,1.0,17.878945319238277,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
source_elastic_comparator_0K,1.0,1.0,1.0,16.478848320069186,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
source_elastic_comparator_0K,1.0,2.0,1.0,15.078751320900095,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
source_elastic_comparator_0K,2.0,0.5,1.0,9.639521159203685,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
source_elastic_comparator_0K,2.0,1.0,1.0,8.939472659619138,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
source_elastic_comparator_0K,2.0,2.0,1.0,8.239424160034593,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
source_elastic_comparator_0K,5.0,0.5,1.0,4.225973975435296,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
source_elastic_comparator_0K,5.0,1.0,1.0,3.945954575601477,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
source_elastic_comparator_0K,5.0,2.0,1.0,3.6659351757676593,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
source_elastic_comparator_0K,10.0,0.5,1.0,2.252996687634557,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
source_elastic_comparator_0K,10.0,1.0,1.0,2.112986987717648,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
source_elastic_comparator_0K,10.0,2.0,1.0,1.9729772878007386,hypothetical geometry; leading-log outer elasticity ONLY; NOT experimental yield
