comparison,first,second,energy_difference_eV,energy_difference_uses_identical_operator,energy_difference_is_a_transition_barrier,common_rows,comparison_radius_over_L0,maximum_vector_change_over_L0,rms_vector_change_over_L0,maximum_screw_change_over_L0,maximum_transverse_change_over_L0,infinite_domain_certified,macroscopic_residual_plasticity
trial_combined_domain_and_ring,results/current_material_core_v22/probe_core_plus_R8r5,results/current_material_core_v22/probe_stationary_R10r7,0.08573087353602782,False,False,72,4.0,0.004088081007899518,0.0022211052251404502,0.002082894170061411,0.003851323440694907,False,False
original_source_coordinate_multistart,results/current_material_core_v22/stable_plus_R8r5,results/current_material_core_v22/source_seed_current_recovered_R8r5,2.55351295663786e-15,True,False,4,1.0,1.046338776807481e-10,7.764423686109116e-11,1.0350809098724767e-10,6.752621850427205e-11,False,False
original_source_coordinate_multistart,results/current_material_core_v22/stable_plus_R8r5,results/current_material_core_v22/source_seed_current_recovered_R8r5,2.55351295663786e-15,True,False,18,2.0,1.4800395109531645e-10,8.725881218501844e-11,1.475845001763787e-10,8.219445451184055e-11,False,False
original_source_coordinate_multistart,results/current_material_core_v22/stable_plus_R8r5,results/current_material_core_v22/source_seed_current_recovered_R8r5,2.55351295663786e-15,True,False,72,4.0,1.4800395109531645e-10,8.255406006601936e-11,1.475845001763787e-10,8.227350892030848e-11,False,False
trial_source_coordinate_multistart,results/current_material_core_v22/probe_core_plus_R8r5,results/current_material_core_v22/source_seed_trial_R8r5,-1.2101430968414206e-14,True,False,4,1.0,2.795628083940516e-09,1.6074035130584436e-09,2.7009930403387727e-09,9.701164488282654e-10,False,False
trial_source_coordinate_multistart,results/current_material_core_v22/probe_core_plus_R8r5,results/current_material_core_v22/source_seed_trial_R8r5,-1.2101430968414206e-14,True,False,18,2.0,2.795628083940516e-09,1.4410672071201124e-09,2.7009930403387727e-09,9.701164488282654e-10,False,False
trial_source_coordinate_multistart,results/current_material_core_v22/probe_core_plus_R8r5,results/current_material_core_v22/source_seed_trial_R8r5,-1.2101430968414206e-14,True,False,72,4.0,2.795628083940516e-09,1.247980644436704e-09,2.7009930403387727e-09,9.701164488282654e-10,False,False
wider_combined_domain_and_ring,results/current_material_core_v22/wider_core_near_R8r5,results/current_material_core_v22/wider_core_R10r7,0.08612069248740839,False,False,4,1.0,0.0008789921902197149,0.000768422566428193,0.0006726486147526356,0.0008458788344894272,False,False
wider_combined_domain_and_ring,results/current_material_core_v22/wider_core_near_R8r5,results/current_material_core_v22/wider_core_R10r7,0.08612069248740839,False,False,18,2.0,0.0018598009964207337,0.001242736506021397,0.001208520011886538,0.0015774646686539627,False,False
wider_combined_domain_and_ring,results/current_material_core_v22/wider_core_near_R8r5,results/current_material_core_v22/wider_core_R10r7,0.08612069248740839,False,False,72,4.0,0.0035814688560571115,0.0019642380800961065,0.001930481159113595,0.003264735517025033,False,False
wider_ring_only,results/current_material_core_v22/wider_core_near_R8r5,results/current_material_core_v22/wider_core_R8r7,0.04613314151865011,False,False,4,1.0,4.847404834879049e-07,3.678558518113572e-07,1.8577371679873167e-07,4.765822482899063e-07,False,False
wider_ring_only,results/current_material_core_v22/wider_core_near_R8r5,results/current_material_core_v22/wider_core_R8r7,0.04613314151865011,False,False,18,2.0,9.266483417815183e-07,5.073628473266089e-07,2.5589015217875044e-07,9.213436253911967e-07,False,False
wider_ring_only,results/current_material_core_v22/wider_core_near_R8r5,results/current_material_core_v22/wider_core_R8r7,0.04613314151865011,False,False,72,4.0,1.2408733002113885e-06,6.178311768038018e-07,4.459838752468581e-07,1.1749261627424204e-06,False,False
wider_domain_only,results/current_material_core_v22/wider_core_R8r7,results/current_material_core_v22/wider_core_R10r7,0.03998755096875828,False,False,4,1.0,0.0008787550986483225,0.0007682464345067831,0.0006727371737552668,0.0008455799340690577,False,False
wider_domain_only,results/current_material_core_v22/wider_core_R8r7,results/current_material_core_v22/wider_core_R10r7,0.03998755096875828,False,False,18,2.0,0.0018590760095219113,0.0012424387504931663,0.0012085490239940322,0.0015768919443510854,False,False
wider_domain_only,results/current_material_core_v22/wider_core_R8r7,results/current_material_core_v22/wider_core_R10r7,0.03998755096875828,False,False,72,4.0,0.0035808963646418606,0.00196406850599376,0.0019305030977370685,0.0032641435815047174,False,False
wider_source_coordinate_multistart,results/current_material_core_v22/wider_core_near_R8r5,results/current_material_core_v22/wider_core_recovered_R8r5,-1.099120794378905e-14,True,False,4,1.0,8.132527728449812e-10,4.613418717827538e-10,8.049281796651542e-10,1.5760067450346497e-10,False,False
wider_source_coordinate_multistart,results/current_material_core_v22/wider_core_near_R8r5,results/current_material_core_v22/wider_core_recovered_R8r5,-1.099120794378905e-14,True,False,18,2.0,8.132527728449812e-10,4.3636710244649096e-10,8.049281796651542e-10,2.0703046080244234e-10,False,False
wider_source_coordinate_multistart,results/current_material_core_v22/wider_core_near_R8r5,results/current_material_core_v22/wider_core_recovered_R8r5,-1.099120794378905e-14,True,False,72,4.0,8.132527728449812e-10,3.2959373663171456e-10,8.049281796651542e-10,2.0703046080244234e-10,False,False
